67.20s, 4, red, Entry
67.37s, 3, red, Exit
67.43s, 4, red, Entry
67.50s, 3, red, Exit
67.53s, 4, red, Entry
67.57s, 3, red, Exit
67.63s, 2, blue, Exit
67.67s, 4, red, Entry
67.67s, 4, blue, Entry
67.70s, 3, red, Exit
67.77s, 4, red, Entry
67.87s, 3, red, Exit
67.90s, 4, red, Entry
67.93s, 2, blue, Exit
67.97s, 4, blue, Entry
68.17s, 3, red, Exit
68.23s, 4, red, Entry
68.33s, 3, red, Exit
68.37s, 4, red, Entry
68.87s, 3, red, Exit
68.90s, 4, red, Entry
68.97s, 3, red, Exit
69.00s, 4, red, Entry
69.00s, 2, blue, Exit
69.13s, 4, blue, Entry
69.17s, 3, red, Exit
69.20s, 4, red, Entry
69.23s, 2, blue, Exit
69.27s, 3, red, Exit
69.30s, 4, red, Entry
69.33s, 4, blue, Entry
69.37s, 2, blue, Exit
69.40s, 4, blue, Entry
69.53s, 2, blue, Exit
69.57s, 4, blue, Entry
69.77s, 3, red, Exit
69.80s, 4, red, Entry
70.03s, 3, red, Exit
70.07s, 4, red, Entry
70.30s, 2, blue, Exit
70.33s, 4, blue, Entry
70.50s, 3, red, Exit
70.53s, 4, red, Entry
70.57s, 3, red, Exit
70.63s, 4, red, Entry
70.90s, 2, blue, Exit
70.93s, 4, blue, Entry
70.97s, 3, red, Exit
71.13s, 4, red, Entry
71.17s, 3, red, Exit
71.30s, 4, red, Entry
71.33s, 3, red, Exit
71.43s, 4, red, Entry
71.47s, 3, red, Exit
71.63s, 4, red, Entry
71.70s, 3, red, Exit
71.73s, 4, red, Entry
71.93s, 3, red, Exit
71.97s, 4, red, Entry
72.00s, 2, blue, Exit
72.03s, 3, red, Exit
72.07s, 4, blue, Entry
72.13s, 4, red, Entry
72.20s, 3, red, Exit
72.23s, 2, blue, Exit
72.50s, 4, red, Entry
73.83s, 3, red, Exit
73.90s, 4, blue, Entry
74.17s, 4, red, Entry
74.20s, 3, red, Exit
74.23s, 4, red, Entry
74.27s, 3, red, Exit
74.67s, 4, red, Entry
74.70s, 3, red, Exit
74.83s, 4, red, Entry
74.90s, 3, red, Exit
75.03s, 4, red, Entry
75.07s, 3, red, Exit
75.10s, 4, red, Entry
75.13s, 3, red, Exit
75.30s, 4, red, Entry
75.43s, 3, red, Exit
76.13s, 2, blue, Exit
76.23s, 4, blue, Entry
77.60s, 4, red, Entry
77.67s, 3, red, Exit
78.10s, 4, red, Entry
78.37s, 3, red, Exit
78.83s, 4, red, Entry
78.90s, 3, red, Exit
78.93s, 4, red, Entry
78.97s, 3, red, Exit
81.37s, 4, red, Entry
81.40s, 3, red, Exit
81.73s, 4, red, Entry
81.77s, 3, red, Exit
81.87s, 4, red, Entry
81.90s, 3, red, Exit
82.17s, 4, red, Entry
82.20s, 3, red, Exit
83.90s, 4, red, Entry
83.93s, 3, red, Exit
84.30s, 4, red, Entry
84.33s, 3, red, Exit
84.40s, 4, red, Entry
84.43s, 3, red, Exit
84.47s, 4, red, Entry
84.50s, 3, red, Exit
84.53s, 4, red, Entry
84.57s, 3, red, Exit
84.80s, 4, red, Entry
84.83s, 3, red, Exit
85.37s, 4, red, Entry
86.00s, 3, red, Exit
86.03s, 4, red, Entry
86.40s, 3, red, Exit
86.43s, 4, red, Entry
86.47s, 3, red, Exit
86.60s, 4, red, Entry
86.67s, 3, red, Exit
86.70s, 4, red, Entry
86.87s, 3, red, Exit
87.00s, 4, red, Entry
87.20s, 3, red, Exit
87.23s, 4, red, Entry
87.33s, 3, red, Exit
87.53s, 4, red, Entry
87.60s, 3, red, Exit
87.63s, 2, blue, Exit
87.70s, 4, red, Entry
87.70s, 4, blue, Entry
87.73s, 3, red, Exit
87.73s, 2, blue, Exit
87.77s, 4, blue, Entry
87.80s, 2, blue, Exit
87.87s, 4, red, Entry
87.87s, 4, blue, Entry
87.90s, 3, red, Exit
88.07s, 4, red, Entry
88.13s, 3, red, Exit
88.17s, 4, red, Entry
88.20s, 3, red, Exit
88.23s, 4, red, Entry
88.37s, 3, red, Exit
88.43s, 4, red, Entry
88.77s, 2, blue, Exit
88.80s, 3, red, Exit
88.80s, 4, blue, Entry
88.83s, 4, red, Entry
88.90s, 3, red, Exit
88.93s, 4, red, Entry
89.47s, 3, red, Exit
89.50s, 4, red, Entry
89.70s, 3, red, Exit
89.73s, 4, red, Entry
89.93s, 3, red, Exit
90.03s, 4, red, Entry
90.27s, 3, red, Exit
90.27s, 2, blue, Exit
90.33s, 4, blue, Entry
90.37s, 4, red, Entry
90.40s, 2, blue, Exit
90.47s, 4, blue, Entry
90.53s, 3, red, Exit
90.53s, 2, blue, Exit
90.57s, 4, red, Entry
90.60s, 3, red, Exit
90.60s, 4, blue, Entry
90.63s, 4, red, Entry
90.63s, 2, blue, Exit
90.67s, 3, red, Exit
90.70s, 4, red, Entry
90.70s, 4, blue, Entry
90.77s, 2, blue, Exit
90.93s, 4, blue, Entry
91.00s, 3, red, Exit
91.07s, 4, red, Entry
91.13s, 3, red, Exit
91.17s, 2, blue, Exit
91.20s, 4, red, Entry
91.20s, 4, blue, Entry
91.27s, 3, red, Exit
91.37s, 4, red, Entry
91.40s, 2, blue, Exit
91.43s, 4, blue, Entry
91.63s, 3, red, Exit
91.67s, 4, red, Entry
91.73s, 3, red, Exit
91.77s, 2, blue, Exit
91.80s, 4, blue, Entry
92.00s, 4, red, Entry
92.03s, 3, red, Exit
92.07s, 4, red, Entry
92.10s, 3, red, Exit
92.20s, 4, red, Entry
92.23s, 3, red, Exit
92.33s, 4, red, Entry
92.80s, 3, red, Exit
92.83s, 4, red, Entry
93.03s, 2, blue, Exit
93.07s, 4, blue, Entry
93.13s, 3, red, Exit
93.27s, 4, red, Entry
93.37s, 2, blue, Exit
93.43s, 3, red, Exit
93.50s, 4, blue, Entry
93.57s, 2, blue, Exit
93.60s, 4, blue, Entry
93.67s, 2, blue, Exit
93.90s, 4, blue, Entry
94.03s, 2, blue, Exit
94.10s, 4, blue, Entry
94.13s, 2, blue, Exit
94.17s, 4, blue, Entry
94.27s, 2, blue, Exit
94.37s, 4, red, Entry
94.37s, 4, blue, Entry
94.40s, 3, red, Exit
94.53s, 4, red, Entry
94.60s, 3, red, Exit
94.63s, 4, red, Entry
94.77s, 3, red, Exit
94.80s, 4, red, Entry
94.87s, 3, red, Exit
94.97s, 4, red, Entry
95.10s, 2, blue, Exit
95.23s, 4, blue, Entry
95.30s, 3, red, Exit
95.33s, 4, red, Entry
95.37s, 3, red, Exit
95.47s, 2, blue, Exit
96.23s, 4, blue, Entry
96.40s, 2, blue, Exit
96.43s, 4, blue, Entry
96.57s, 4, red, Entry
96.70s, 3, red, Exit
96.73s, 4, red, Entry
96.83s, 3, red, Exit
